# Time   VoD
70.575  9.432
70.625  8.363
70.675  8.123
70.725  7.254
70.775  8.640
70.825  8.128
70.875  8.050
70.925  8.030
70.975  8.015
71.025  8.013
71.075  8.749
71.125  8.857
71.175  8.233
71.225  8.074
71.275  8.042
71.325  8.021
71.375  8.014
71.425  8.014
71.475  9.028
71.525  8.646
71.575  8.182
71.625  8.061
71.675  8.039
71.725  8.018
71.775  8.013
71.825  8.014
71.875  9.087
71.925  8.598
71.975  8.173
72.025  8.059
72.075  8.037
72.125  8.020
72.175  8.012
72.225  8.010
72.275  8.624
72.325  9.248
72.375  7.976
72.425  8.064
72.475  8.041
72.525  8.020
72.575  8.014
72.625  8.014
72.675  9.025
72.725  8.647
72.775  8.183
72.825  8.061
72.875  8.039
72.925  8.018
72.975  8.013
73.025  8.014
73.075  9.068
73.125  8.613
73.175  8.177
73.225  8.060
73.275  8.039
73.325  8.018
73.375  8.013
73.425  8.014
73.475  9.085
73.525  8.597
73.575  8.174
73.625  8.059
73.675  8.038
73.725  8.020
73.775  8.013
73.825  8.357
73.875  9.472
73.925  8.100
73.975  7.862
74.025  8.108
74.075  8.049
74.125  8.030
74.175  8.016
74.225  8.012
74.275  8.514
74.325  9.038
74.375  8.266
74.425  8.089
74.475  8.044
74.525  8.025
74.575  8.014
74.625  8.013
74.675  8.739
74.725  8.858
74.775  8.234
74.825  8.078
74.875  8.043
74.925  8.023
74.975  8.014
75.025  8.013
75.075  8.828
75.125  8.790
75.175  8.218
75.225  8.073
75.275  8.041
75.325  8.025
75.375  8.013
75.425  8.010
75.475  8.361
75.525  9.547
75.575  7.902
75.625  8.090
75.675  8.044
75.725  8.027
75.775  8.015
75.825  8.012
75.875  8.643
75.925  8.932
75.975  8.249
76.025  8.083
76.075  8.043
76.125  8.024
76.175  8.014
76.225  8.013
76.275  8.745
76.325  8.851
76.375  8.233
76.425  8.078
76.475  8.043
76.525  8.023
76.575  8.014
76.625  8.013
76.675  8.769
76.725  8.833
76.775  8.229
76.825  8.077
76.875  8.042
76.925  8.025
76.975  9.043
77.025  8.581
77.075  8.239
77.125  8.075
77.175  7.587
77.225  8.340
77.275  8.077
77.325  8.042
77.375  8.019
77.425  8.013
77.475  8.016
77.525  9.298
77.575  8.444
77.625  8.132
77.675  8.052
77.725  8.032
77.775  8.016
77.825  8.012
77.875  8.160
77.925  9.287
77.975  8.338
78.025  8.112
78.075  8.047
78.125  8.030
78.175  8.016
78.225  8.012
78.275  8.339
78.325  9.155
78.375  8.300
78.425  8.105
78.475  8.046
78.525  8.030
78.575  8.015
78.625  8.011
78.675  8.013
78.725  9.807
78.775  7.973
78.825  8.101
78.875  8.047
78.925  8.030
78.975  8.016
79.025  8.012
79.075  8.287
79.125  9.190
79.175  8.314
79.225  8.107
79.275  8.046
79.325  8.029
79.375  8.015
79.425  8.012
79.475  8.364
79.525  9.135
79.575  8.295
79.625  8.104
79.675  8.045
79.725  8.029
79.775  8.015
79.825  8.012
79.875  8.373
79.925  9.127
79.975  8.294
80.025  8.104
80.075  8.045
80.125  8.031
80.175  8.015
80.225  9.368
80.275  8.435
80.325  8.130
80.375  8.052
80.425  7.847
80.475  8.086
80.525  8.046
80.575  8.025
80.625  8.015
80.675  8.014
80.725  9.001
80.775  8.672
80.825  8.187
80.875  8.060
80.925  8.038
80.975  8.018
81.025  8.013
81.075  8.016
81.125  9.223
81.175  8.497
81.225  8.146
81.275  8.054
81.325  8.035
81.375  8.017
81.425  8.012
81.475  8.016
81.525  9.291
81.575  8.442
81.625  8.136
81.675  8.052
81.725  8.035
81.775  8.017
81.825  8.022
81.875  9.757
81.925  8.131
81.975  8.075
82.025  7.838
82.075  8.093
82.125  8.046
82.175  8.028
82.225  8.015
82.275  8.013
82.325  8.799
82.375  8.823
82.425  8.222
82.475  8.071
82.525  8.042
82.575  8.020
82.625  8.014
82.675  8.014
82.725  9.073
82.775  8.612
82.825  8.175
82.875  8.059
82.925  8.038
82.975  8.018
83.025  8.013
83.075  8.015
83.125  9.154
83.175  8.546
83.225  8.161
83.275  8.057
83.325  8.038
83.375  8.019
83.425  8.011
83.475  9.586
83.525  8.299
83.575  8.079
83.625  7.824
83.675  8.113
83.725  8.050
83.775  8.030
83.825  8.016
83.875  8.013
83.925  8.633
83.975  8.949
84.025  8.248
84.075  8.080
84.125  8.043
84.175  8.022
84.225  8.014
84.275  8.014
84.325  8.935
84.375  8.713
84.425  8.199
84.475  8.066
84.525  8.040
84.575  8.019
84.625  8.014
84.675  8.014
84.725  9.008
84.775  8.657
84.825  8.187
84.875  8.062
84.925  8.039
84.975  8.021
85.025  8.013
85.075  8.011
85.125  8.504
85.175  8.914
85.225  8.433
85.275  8.063
85.325  8.040
85.375  8.020
85.425  8.014
85.475  8.014
85.525  8.997
85.575  8.665
85.625  8.189
85.675  8.063
85.725  8.040
85.775  8.019
85.825  8.013
85.875  8.014
85.925  9.016
85.975  8.651
86.025  8.185
86.075  8.062
86.125  8.039
86.175  8.019
86.225  8.013
86.275  8.014
86.325  9.028
86.375  8.641
86.425  8.183
86.475  8.062
86.525  8.039
86.575  8.021
86.625  8.013
86.675  8.011
86.725  9.625
86.775  8.155
86.825  8.170
86.875  7.948
86.925  8.040
86.975  8.030
87.025  8.015
87.075  8.012
87.125  8.594
87.175  8.976
87.225  8.255
87.275  8.084
